endemic,"{'local', 'regional'}"
venerate,"{'honor', 'respect', 'treasure', 'put on a pedestal', 'hallow', 'apotheosize', 'think highly of', 'idolize', 'cherish', 'be in awe of', 'appreciate', 'regard', 'admire', 'look up to', 'worship', 'reverence', 'esteem', 'love', 'hold in awe', 'adore', 'exalt', 'deify', 'value'}"
caustic,"{'corroding', 'mordant', 'abrasive', 'erosive', 'acid', 'keen', 'acrid', 'acerbic', 'pungent', 'tart', 'astringent', 'biting', 'alkaline'}"
viscous,"{'mucilaginous', 'tough', 'clammy', 'slimy', 'thick', 'syrupy', 'gluey', 'gelatinous', 'gooey', 'tenacious', 'glutinous', 'stiff', 'ropy', 'viscid', 'adhesive'}"
misanthrope,"{'cynic', 'loner', 'hater', 'isolate', 'doubter', 'recluse', 'misanthropist', 'egoist', 'egotist', 'skeptic'}"
antediluvian,"{'timeworn', 'hoary', 'venerable', 'age-old', 'obsolete', 'archaic', 'old', 'antique', 'primitive', 'primordial', 'antiquated', 'ancient', 'old-fashioned', 'passé', 'primeval'}"
dogmatic,"{'stubborn', 'bigoted', 'intolerant', 'obdurate', 'one-sided', 'overbearing', 'pigheaded', 'bullheaded', 'arbitrary', 'fanatical', 'categorical', 'prejudiced', 'downright', 'egotistical', 'definite', 'confident', 'fascistic', 'imperious', 'stiff-necked', 'despotic', 'formal', 'magisterial', 'doctrinaire', 'dictative', 'unequivocal', 'domineering', 'cocksure', 'arrogant', 'wrong-headed', 'peremptory', 'emphatic', 'tyrannical', 'obstinate', 'assertive', 'tenacious', 'narrow-minded', 'high and mighty', 'determined'}"
chicanery,"{'maneuver', 'feint', 'dodge', 'underhandedness', 'sharp practice', 'skullduggery', 'furtiveness', 'surreptitiousness', 'fourberie', 'fraud', 'gambit', 'ploy', 'plot', 'artifice', 'hanky-panky', 'deviousness', 'machination', 'ruse', 'cheating', 'sophistry', 'duplicity', 'wiles', 'stratagem', 'subterfuge', 'chicane', 'intrigue', 'double-crossing', 'dishonesty', 'double-dealing'}"
erudite,"{'scholarly', 'lettered', 'scholastic', 'learned', 'well-read', 'highbrow', 'in the know', 'literate', 'studious', 'wise up', 'educated', 'knowledgeable', 'into', 'brainy', 'savvy', 'cultivated'}"
enigma,"{'mind-boggler', 'riddle', 'grabber', 'conundrum', 'sticker', 'why', 'question mark', 'teaser', 'crux', 'cliffhanger', 'Gordian knot', 'twister', 'puzzlement', 'puzzle', 'cryptogram', 'problem', 'tough nut to crack', 'secret', 'puzzler', 'bewilderment', 'question', 'sphinx', 'knot', 'sixty-four dollar question', 'stumper', 'parable', 'mind-twister', 'perplexity', 'stickler', 'mystification'}"
deprecation,"{'disparagement', 'ridicule', 'scorn', 'denigration', 'derogation', 'put-down', 'detraction', 'aspersion'}"
desiccate,"{'dry', 'evaporate', 'sear', 'divest', 'parch', 'exsiccate', 'shrivel', 'dehydrate', 'wizen', 'drain', 'dry up', 'deplete', 'wither', 'anhydrate', 'devitalize'}"
sanguine,"{'enthusiastic', 'cheerful', 'undoubtful', 'secure', 'hopeful', 'confident', 'buoyant', 'animated', 'assured', 'expectant', 'self-assured', 'upbeat', 'self-confident', 'spirited', 'positive', 'lively'}"
indelible,"{'permanent', 'rememberable', 'inerasable', 'inextirpable', 'enduring', 'ineradicable', 'lasting', 'ingrained', 'stirring', 'ineffaceable', 'inexpungible', 'unforgettable', 'memorable'}"
garrulous,"{'long-winded', 'chatty', 'motormouth', 'loose-tongued', 'wind-bag', 'prating', 'prosy', 'prattling', 'verbose', 'chattering', 'babbling', 'mouthy', 'glib', 'loquacious', 'yakkity', 'wordy', 'loose-lipped', 'blabbermouth', 'voluble', 'gossiping', 'running on at the mouth', 'gabby', 'windy', 'flap jaw', 'yakky', 'prolix', 'effusive', 'gushing'}"
placate,"{'win over', 'tranquilize', 'stroke', 'humor', 'conciliate', 'pacify', 'soft-pedal', 'play up to', 'mollify', 'assuage', 'calm', 'reconcile', 'cheer', 'soothe', 'make up', 'sweeten', 'comfort', 'propitiate', 'make peace', 'appease', 'pour oil on', 'satisfy'}"
banal,"{'zero', 'blah', 'tired', 'unoriginal', 'stale', 'nothing', 'ordinary', 'unimaginative', 'pedestrian', 'watery', 'platitudinous', 'nowhere', 'ho hum', 'hackneyed', 'flat', 'bland', 'insipid', 'stupid', 'conventional', 'cornball', 'stock', 'square', 'humdrum', 'clichéd', 'trite', 'corny', 'hokey', 'tripe', 'bromidic', 'everyday', 'vapid', 'wishy-washy', 'mundane', 'stereotyped', 'dull as dishwater', 'cornfed', 'pabulum', 'noplace', 'common', 'old hat', 'dumb'}"
tyro,"{'abecedarian', 'novice', 'colt', 'student', 'new kid on the block', 'pupil', 'rookie', 'neophyte', 'recruit', 'tenderfoot', 'novitiate', 'amateur', 'buckwheater', 'greenhorn', 'newcomer', 'apprentice', 'starter', 'cadet', 'trainee', 'learner'}"
burgeon,"{'sprout', 'bud', 'prosper', 'grow', 'mushroom', 'snowball', 'blossom', 'thrive', 'increase', 'expand', 'flower'}"
pedantic,"{'pedagogic', 'dull', 'punctilious', 'donnish', 'scholastic', 'overnice', 'pompous', 'didactic', 'stilted', 'fussy', 'egotistic', 'erudite', 'abstruse', 'dry', 'formal', 'learned', 'sententious', 'doctrinaire', 'academic', 'schoolish', 'particular', 'arid', 'priggish', 'ostentatious', 'nit-picking', 'hairsplitting'}"
guileless,"{'undesigning', 'artless', 'aboveboard', 'open', 'simple-minded', 'innocent', 'unsophisticated', 'straightforward', 'simple', 'unstudied', 'sincere', 'unaffected', 'ingenuous', 'naive', 'genuine', 'frank', 'candid', 'truthful', 'natural'}"
disparaging,"{'depreciatory', 'pejorative', 'unfavorable', 'defamatory', 'snide', 'detractory', 'epithetical', 'derogatory', 'minimizing'}"
gossamer,"{'light', 'fibrous', 'transparent', 'translucent', 'airy', 'tiffany', 'sheer', 'fine', 'cobweb', 'silky', 'flimsy', 'diaphanous', 'delicate'}"
amalgamate,"{'meld', 'admix', 'combine', 'interface', 'unite', 'ally', 'alloy', 'coalesce', 'hook up with', 'team up', 'tie in', 'join together', 'tie up', 'intermix', 'consolidate', 'mingle', 'merge', 'integrate', 'incorporate', 'network', 'fuse', 'come together', 'pool', 'compound'}"
descry,"{'observe', 'discern', 'reveal', 'spot', 'determine', 'espy', 'perceive', 'note', 'sight', 'detect', 'behold', 'see', 'disclose'}"
bombast,"{'rhapsody', 'grandiosity', 'rodomontade', 'stuffed', 'braggadocio', 'rave', 'exaggeration', 'gasconade', 'stuff', 'magniloquence', 'tympany', 'altiloquence', 'fustian', 'turgidity', 'rage', 'cotton', 'rhetoric', 'rant', 'tumidity', 'padded', 'bombastry', 'grandiloquence', 'bluster', 'balderdash', 'pomposity', 'pad'}"
emollient,"{'relieving', 'softening', 'palliative', 'balsamic', 'remedial', 'lenitive', 'demulcent', 'healing'}"
magnanimity,"{'chivalry', 'philanthropy'}"
tractable,"{'acquiescent', 'flexible', 'rolling with punches', 'ductile', 'compliant', 'tractile', 'controllable', 'tame', 'amenable', 'hanging loose', 'persuadable', 'meek', 'submissive', 'game', 'obedient', 'pliant', 'plastic', 'going along with', 'malleable', 'workable', 'facile', 'putty in hands', 'subdued', 'pliable', 'docile', 'complaisant', 'biddable', 'yielding', 'governable', 'willing'}"
misogynist,"{'sexist', 'anti-feminist', 'misanthrope', 'male chauvinist'}"
corporal,"{'phenomenal', 'human', 'corporeal', 'fleshy', 'carnal', 'material', 'gross', 'substantial', 'somatic', 'tangible', 'objective', 'anatomical', 'fleshly', 'sensible'}"
fawn,"{'yearling', 'baby doe', 'baby buck'}"
obviate,"{'prevent', 'hinder', 'intervene', 'remove', 'restrain', 'ward', 'interpose', 'rule out', 'counter', 'deter', 'stave off', 'block', 'avert', 'counteract', 'forfend', 'anticipate', 'forestall', 'do away with', 'preclude', 'interfere'}"
corroborate,"{'double check', 'strengthen', 'document', 'declare true', 'substantiate', 'approve', 'establish', 'check up', 'support', 'endorse', 'give nod', 'certify', 'bear out', 'check on', 'ratify', 'authenticate', 'justify', 'validate', 'prove', 'confirm', 'okay', 'sustain', 'check out', 'verify', 'rubber-stamp'}"
aggrandize,"{'extend', 'jump', 'augment', 'intensify', 'enlarge', 'honor', 'commend', 'hike', 'jack up', 'distinguish', 'dignify', 'heighten', 'magnify', 'parlay', 'hype', 'acclaim', 'ennoble', 'increase', 'glorify', 'applaud', 'praise', 'multiply', 'boost', 'expand', 'beef up', 'hike up'}"
propitiate,"{'atone', 'appease', 'mollify', 'satisfy', 'assuage', 'placate', 'pacify'}"
feign,"{'counterfeit', 'fabricate', 'play possum', 'put up a front', 'affect', 'do a bit', 'devise', 'bluff', 'dissemble', 'imagine', 'phony up', 'put on', 'fake', 'sham', 'invent', 'make show of', 'simulate', 'put on act', 'imitate', 'four-flush', 'forge', 'act', 'assume', 'stonewall', 'give appearance of', 'dissimulate', 'play'}"
aver,"{'assert', 'contend', 'predicate', 'swear', 'proclaim', 'declare', 'claim', 'justify', 'affirm', 'insist', 'avouch', 'emphasize', 'state', 'verify', 'prove'}"
